line,text_a,text_b,item_a,prosodel_a,lexel_a,grammel_a,item_b,prosodel_b,lexel_b,grammel_b,notes
178,¶ On for his grete folk,þat him wiþ-saken hedde,folk,nontrochaic,MED16580,n<pr,hedde,trochaic,MED20173,vpt13,
179,¶ A-noþur for Iosep[h]s tale,þat wolde fayn he tornede,tale,trochaic,MED44431,n<pr,tornede,trochaic,MED47404,vpt13,
180,¶ þe þridde How God scholde wiþ-outen wem,wonen in a Mayden,wem,dative_e,MED52187,n<pr,Mayden,trochaic,MED26501,n<pr,
181,¶ Þenne he seih in his chaumbre-flor,þreo* souht vp at enes,flor,dative_e,MED16387,n<pr,at enes,trochaic,MED2832,av,
182,þe braunches on heiȝ weoren,alle of o lengþe,weoren,trochaic,MED4048,vpt23,lengþe,trochaic,MED25124,n<pr,
183,Bote þe bark of þat on,semede dimmore,on,nontrochaic,MED30546,pn<pr,dimmore,trochaic,MED11669,aj-cpv,
184,þen ouþer of þe oþer two,trouwe þou forsoþe,two,nontrochaic,MED47539,qc<pr,forsoþe,trochaic,MED17159,av,
185,¶ þat signede Ihesu crist,for sake* of vre kuynde,crist,nontrochaic,MED10361,nOd,kuynde,trochaic,MED24248,n<pr,
186,was nout out-wiþ so cler,bote wiþ-inne he was clene,cler,nontrochaic,MED7975,aj,clene,trochaic,MED7950,aj,
187,¶ He calles on his chaumberleyn,to kennen vncouþes,chaumberleyn,nontrochaic,MED7343,n<pr,vncouþes,trochaic,MED48094,ajnplOd,
188,And he rises a-non,and for ferd falles,anon,nontrochaic,MED1714,av,falles,trochaic,MED15195,vps13,
189,And he feres* him vp,and bad him not ben ferd,vp,nontrochaic,MED50323,av,ferd,trochaic,MED15658,vpp-aj,
190,þer schal falle non euel,of þat is here formed,euel,trochaic,MED23619,n,formed,trochaic,MED17051,vpp,
191,¶ þei lihten two torches,and to þis treos wenten,torches,trochaic,MED46345,nplOd,wenten,trochaic,MED52201,vpt23,
192,þei weore semeli bi-neoþe,þei mihte not seo þe heiȝþe,bi-neoþe,trochaic,MED4674,av,heiȝþe,trochaic,MED20253,nOd,
193,sprongen wiþ gret sped,of a good spice,sped,trochaic,MED42055,n<pr,spice,trochaic,MED42182,n<pr,
194,On vche braunche was a word,of þreo maner enkes,word,nontrochaic,MED53418,n,enkes,trochaic,MED22773,npl<pr,
195,Gold and Seluer he seis,and Asur forsoþe,seis,nontrochaic,MED39393,vps13,forsoþe,trochaic,MED17159,av,sole instance of this spelling for SEE
196,¶ þis makeþ quod þe wiht,þe marke of gold,wiht,nontrochaic,MED52699,n,gold,dative_e,MED19031,n<pr,
197,¶ And þis saues quaþ þat wiht,þe seyne of seluer,wiht,nontrochaic,MED52699,n,seluer,trochaic,MED40351,n<pr,
198,And þis clanses,as þe Asur kennes,clanses,trochaic,MED7964,vps13,kennes,trochaic,MED24161,vps13,
199,¶ þe kyng nuste wel forte seye,bi wit þat he hedde,seye,trochaic,MED39209,vi-m,hedde,trochaic,MED20173,vpt13,
200,wheþer þat he seȝe,was on forte sigge,seȝe,trochaic,MED39393,vsjpt13,sigge,trochaic,MED39209,vi-m,
201,oþer two or þreo,or what he miȝte telle,þreo,nontrochaic,MED45441,qc,telle,trochaic,MED44693,vi,
202,¶ þe kyng was a-bascht,and to his bed buskes,a-bascht,trochaic,MED22,vpp,buskes,trochaic,MED6383,vps13,
203,and his Chaumberleyn so a-ferd,þat neih he felde I|swowen,a-ferd,trochaic,MED665,vpp-aj,I-Swowen,trochaic,MED44321,vSpp-aj,
204,¶ þenne he seiȝ a newe chaumbre-wouh,wrouȝt al of bordes,wouh,nontrochaic,MED53512,nOd,bordes,trochaic,MED5533,npl<pr,
205,a dore honginge þer-on,haspet ful faste,þeron,nontrochaic,MED45183,av,faste,trochaic,MED15314,av,
206,A child cominge þorw,his come was nout seene,þorw,nontrochaic,MED45600,av,seene,trochaic,MED23443,aj,
207,Siþen lenges a while,and a-ȝein lendes,while,trochaic,MED52555,nOi,lendes,trochaic,MED25102,vps13,
208,wiþ-outen faute oþer faus,as þei fore seiden,faus,nontrochaic,MED15200,n<pr,seiden,trochaic,MED39209,vpt23,Lawton emends b-verse
209,¶ þenne spekes a vois,and on heiȝ sigges,vois,nontrochaic,MED51346,n,sigges,trochaic,MED39209,vps13,
210,king haue þou no ferli,of þat is heere formed,ferli,nonschwa,MED15692,nOd,formed,trochaic,MED17051,vpp,
211,for so god with-outen wem,wende in a Mayden,wem,dative_e,MED52187,n<pr,Mayden,trochaic,MED26501,n<pr,
212,Now we leuen þe kyng,and of Ioseph carpen,kyng,nontrochaic,MED24299,nOd,carpen,trochaic,MED6853,vps21,
213,A lord quaþ Ioseph,how may þis limpe,Ioseph,nonschwa,Wikidata_Q271474,n,limpe,trochaic,MED25633,vi,
214,Of þis king Eualak,þat con not vnderstonde,Eualak,nontrochaic,NO_AUTH_euelak,n<pr,vnderstonde,trochaic,MED48362,vi,
215,Bote ȝif I turne him bi þis poynt,ar he henne passe,poynt,trochaic,MED33862,n<pr,passe,trochaic,MED32556,vsjps13,
216,beos he neuermore I-tornd,treweli I trouwe,I-tornd,trochaic,MED47404,vpp,trouwe,trochaic,MED47239,vps11,
217,Nou I be-seche þe Ihesu,as þou art ful of Ioye,Ihesu,nonschwa,MED23845,n-voc,Ioye,trochaic,MED23878,n<pr,
218,þat speke to hem of Israel,þorw Moyses speche,Israel,nontrochaic,MED23501,n<pr,speche,trochaic,MED42028,n<pr,
219,And bad þei schulde leeuen,for no-skunus þinge,leeuen,trochaic,MED25342,vi,þinge,dative_e,MED45301,n<pr,
220,In non oþur straunge god,bote studefast þe holde,god,trochaic,MED18945,n<pr,holde,trochaic,MED20995,vi,
221,And wustest daniel in þe put,þat he was inne I-worpe,put,dative_e,MED33518,n<pr,I-worpe,trochaic,MED52306,vSpp,
222,Among þe leones feole,þat he no scaþe lauȝte,feole,trochaic,MED15514,ajpl<pr,lauȝte,trochaic,MED24520,vpt23,
223,And for-ȝaf þe Maudeleyn,mekelyche hire sunnes,Maudeleyn,nontrochaic,MED27095,nOd,sunnes,trochaic,MED40479,nplOi,
224,And siþen seidest to me,mi preyere scholde sitte,me,nontrochaic,MED27132,P11<pr,sitte,trochaic,MED40572,vi,
225,þou heiȝtest holichurche,to haunsen hire strengþe,holichurche,trochaic,MED7624,nOi,strengþe,trochaic,MED43299,nOd,
226,to hiȝen þi godhed,hit helpes nout elles,godhed,nonschwa,MED18979,nOd,elles,trochaic,MED13290,av,
227,Nou gloriouse kyng,graunte me mi boone,kyng,nontrochaic,MED24299,n-voc,boone,trochaic,MED5478,nOd,
228,Þenne spekes a vois,and on heiȝ sigges,vois,nontrochaic,MED51346,n,sigges,trochaic,MED39209,vps13,
229,Ioseph haue þou no care,þe kyng schal sone torne,care,trochaic,MED6789,nOd,torne,trochaic,MED47404,vi,
230,Go þou most to þi wyf,gete þou most nede,wyf,nontrochaic,MED52688,n<pr,nede,trochaic,MED29186,av,
231,A child Galaad schal be hoten,þat goodnesse schal reise,hoten,trochaic,MED21307,vSpp,reise,trochaic,MED36573,vi,
232,þe Auenturus of Brutayne,to haunsen and to holden,Brutayne,trochaic,Wikidata_Q3240725,n<pr,holden,trochaic,MED20995,vi,
233,And he dos as he bad,and to his bed buskes,bad,nontrochaic,MED4381,vSpt13,buskes,trochaic,MED6383,vps13,
234,¶ In þe morwe he was vppe,and roises þis oþure,vppe,trochaic,MED50323,av,oþure,trochaic,MED31010,pn-defOd,
235,þenne hit þester bi-gon,and þonderde swiþe,bi-gon,nontrochaic,MED4470,vSpt13,swiþe,trochaic,MED44277,av,
236,þat þe graue quakede,and þei a-grisen alle,quakede,trochaic,MED35409,vpt13,alle,trochaic,MED985,ajpl,
237,¶ He bi-þenkes him þo,and to his whucche weendes,þo,nontrochaic,MED45360,av,weendes,trochaic,MED52201,vps13,
238,And feole preiers he made,þat Ihesu crist herde,made,trochaic,MED26584,vpt13,herde,trochaic,MED20505,vpt13,
239,And spekes to hem,wiþ loueliche wordes,hem,nontrochaic,MED20353,P23<pr,wordes,trochaic,MED53418,npl<pr,
240,¶ I-blesset be ȝe to day,alle myne leoue children,today,nontrochaic,MED46102,av,children,trochaic,MED7559,npl-voc,
241,And he tolde hem of his crucifiing,hou he [þe] cros souȝte,crucifiing,nontrochaic,MED9041,vn<pr,souȝte,trochaic,MED39128,vpt13,
242,And of heore fadres bi-fore,þat he fond vn-kuynde,bi-fore,trochaic,MED4432,av,vnkuynde,trochaic,MED49020,ajplOd,
243,Er þei speeken to me feire,and faynede me wiþ wordes,feire,trochaic,MED15160,av,wordes,trochaic,MED53418,npl<pr,
244,Bote þei hateden me,and hedden de-deyn,me,nontrochaic,MED27132,P11Od,dedeyn,trochaic,MED11889,nOd,
245,Bote beo ȝe stable in oure fei,and foleweþ vre werkes,fei,dative_e,MED15481,n<pr,werkes,trochaic,MED52278,nplOd,
246,for ȝe han more of þe lawe,þen prophetes hedden,lawe,trochaic,MED24815,n<pr,hedden,trochaic,MED20173,vpt23,
247,¶ Þei nedden bote þe holygost,and so ȝe han eke,holy gost,nontrochaic,MED21027,nOd,eke,trochaic,MED13182,av,
248,and siþen bodiliche me,to ben at or wille,me,nontrochaic,MED27132,P11Od,wille,trochaic,MED52793,n<pr,
249,¶ I nul not fastenen on þe sone,þe Fadres gultus,sone,trochaic,MED41557,n<pr,gultus,trochaic,MED18577,nplOd,
250,I for-ȝiue ow clene,þe harm þat I hedde,clene,trochaic,MED7951,av,hedde,trochaic,MED20173,vpt11,
251,And cum þou hider Iosaphe,for þou art Iugget clene,Iosaphe,trochaic,Wikidata_Q6288522,n-voc,clene,trochaic,MED7950,aj,
252,And art digne þer-to,þat dos me to lyke,þer-to,nontrochaic,MED45196,av,lyke,trochaic,MED25553,vi-m,
253,Ichul bi-take þe to-day,in a good tyme,today,nontrochaic,MED46102,av,tyme,trochaic,MED45871,n<pr,
254,on þe hiȝeste þing,holden on eorþe,þing,nontrochaic,MED45301,nOd,eorþe,trochaic,MED14387,n<pr,
255,non oþer of me,hit murili to habben,me,nontrochaic,MED27132,P11<pr,habben,trochaic,MED20173,vi-m,
256,but elles vche mon of þe,þat takes hit aftur,þe,nontrochaic,MED45072,P12<pr,aftur,trochaic,MED801,av,
257,He bad him lifte vp,and þe lide warpes,vp,nontrochaic,MED50323,av,warpes,trochaic,MED52306,vps13,
258,Þenne he seos Ihesu crist,in a sad Roode,crist,nontrochaic,MED10361,nOd,Roode,trochaic,MED37732,n<pr,MED sense 2b
259,and his fyue Angeles,þat forþ wiþ him stoden,Angeles,trochaic,MED3046,nplOd,stoden,trochaic,MED43062,vSpt23,
260,As red as þe fuir,and he hem bi-holdes,fuir,nontrochaic,MED16036,n,bi-holdes,trochaic,MED4526,vps13,
261,¶ þat on beres in his hond,a cros of queynte hewe,hond,dative_e,MED21102,n<pr,hewe,dative_e,MED20681,n<pr,
262,¶ þat oþer beres in his hond,þreo blodi nayles,hond,dative_e,MED21102,n<pr,nayles,trochaic,MED29017,nplOd,
263,¶ þe þridde þe Coroune,þat his hed keuerde,Coroune,trochaic,MED9794,nOd,keuerde,trochaic,MED10112,vpt13,
264,¶ þe Feorþe þe launce,þat lemede him wiþ-Inne,launce,trochaic,MED24845,nOd,wiþ-Inne,trochaic,MED53079,av,
265,¶ And þe Fyfþe a blodi cloþ,þat he was inne i-braced,cloþ,nontrochaic,MED8138,nOd,i-braced,trochaic,MED5769,vpp,
266,whon he lay after slauht,in þe sepulcre,slauht,dative_e,MED40780,n<pr,sepulcre,trochaic,MED39477,n<pr,
267,¶ þenne he falles for fere,forþ wiþ þe wȝucche,fere,dative_e,MED15618,n<pr,wȝucche,trochaic,MED52535,n<pr,
268,Eft he bad him rise vp,he ros wiþ þe bone,vp,nontrochaic,MED50323,av,bone,trochaic,MED5478,n<pr,
269,¶ þenne he sauh Ihesu crist,I-strauȝt vppon þe Roode,crist,nontrochaic,MED10361,nOd,Roode,trochaic,MED37732,n<pr,
270,whuche þe Angel by-fore,hedde in his hond,by-fore,trochaic,MED4432,av,hond,dative_e,MED21102,n<pr,
271,And þe þreo nayles,þat þe oþur bi-foren hedde,nayles,trochaic,MED29017,nplOd,hedde,trochaic,MED20173,vpt13,
272,In his honden and his feet,alle þei weore faste,feet,nontrochaic,MED17401,npl<pr,faste,trochaic,MED15312,ajpl,
273,¶ Siþen stiken wiþ þe spere,blod and watur louses,spere,trochaic,MED42136,n<pr,louses,trochaic,MED26123,vps13,
274,Bi-holdes touward hise feet,say fro hem renne,feet,nontrochaic,MED17401,npl<pr,renne,trochaic,MED36797,vi,
275,eornen al of red blod,romynge a-boute,blod,nontrochaic,MED5268,n<pr,a-boute,trochaic,MED160,av,
276,Al priueliche his peyne,a-pertliche he sauh,peyne,trochaic,MED32728,nOd,sauh,nontrochaic,MED39393,vSpt13,
277,WHi lengest þou quod Iosep[h],to his sone so longe,Iosep,nonschwa,Wikidata_Q271474,n,longe,trochaic,MED26029,av,
278,And so stille liggest,lokynde in þe whucche,liggest,trochaic,MED25443,vps12,whucche,trochaic,MED52535,n<pr,
279,A Fader touche me not,in þis ilke tyme,not,nontrochaic,MED29867,av,tyme,trochaic,MED45871,n<pr,
280,For muche gostliche grace,me is here I-graunted,grace,trochaic,MED19175,nOd,graunted,trochaic,MED19274,vpp,
281,¶ þenne þei loken in atte wȝucche,loueliche boþe,wȝucche,trochaic,MED52535,n<pr,boþe,trochaic,MED5636,ajpl,
282,¶ þenne þei seȝen Ihesu crist,in þat ilke foorme,crist,nontrochaic,MED10361,nOd,foorme,trochaic,MED17042,n<pr,
283,þat heo seȝen him sodeynliche,whon heo furst comen,sodeynliche,trochaic,MED41315,av,comen,trochaic,MED8522,vSpt23,
284,aftur þe slauȝt to him,to þe sepulcre,him,nontrochaic,MED20803,P13M<pr,sepulcre,trochaic,MED39477,n<pr,
285,¶ þenne comen two Angeles,wiþ twayles white,Angeles,trochaic,MED3046,npl,white,trochaic,MED52610,ajpl<pr,
286,And eiþer bar in his hond,a basyn of seluer,hond,dative_e,MED21102,n<pr,seluer,trochaic,MED40351,n<pr,
287,Oþur Tweyne aftur hem,with cruetes sone,hem,nontrochaic,MED20353,P23<pr,sone,trochaic,MED41559,av,
288,and wasscheles wiþ haly water,with hem þei brouȝten,water,trochaic,MED51881,n<pr,brouȝten,trochaic,MED6058,vpt23,
289,And oþer two after hem,with sencers soone,hem,nontrochaic,MED20353,P23<pr,soone,trochaic,MED41559,av,
290,set wiþ riche stones,and a viole of sence,stones,trochaic,MED43058,npl<pr,sence,dative_e,MED7080,n<pr,
291,¶ þen com on þe strengþe of god,gabriel I-hoten,god,trochaic,MED18945,n<pr,I-hoten,trochaic,MED21307,vSpp-aj,
292,wiþ þe riccheste sege,þat euer for seete seemes,sege,dative_e,MED39202,n<pr,seemes,trochaic,MED39359,vps13,
293,And oþer two after him,wiþ crois and wiþ Mitre,him,nontrochaic,MED20803,P13M<pr,Mitre,trochaic,MED28377,n<pr,
294,And oþure bouwynde after,wiþ vestimens sone,after,trochaic,MED801,av,sone,trochaic,MED41559,av,
295,HE seiȝ an Auter I-cloþed,wiþ cloþes ful riche,I-cloþed,trochaic,MED8140,vpp-aj,riche,trochaic,MED37439,ajpl<pr,
296,Vppon þat on ende lay,þe launce and þe nayles,lay,nontrochaic,MED25443,vSpt23,nayles,trochaic,MED29017,npl,
297,And vppon þat oþer ende,þe disch wiþ þe blode,ende,trochaic,MED13649,n<pr,blode,dative_e,MED5268,n<pr,
298,and a vessel of gold,geynliche bi-twene,gold,dative_e,MED19031,n<pr,bi-twene,trochaic,MED4992,av,
299,¶ Ihesu made for to greiþe Iosaphe,in þat geyn weede,Iosaphe,trochaic,Wikidata_Q6288522,nOd,weede,trochaic,MED51971,n<pr,
300,And sacrede him to Bisschop,wiþ boto his hondes,Bisschop,nonschwa,MED4803,n<pr,hondes,trochaic,MED21102,npl<pr,
301,And tolde him of his vestimens,what þei signefyen,vestimens,nontrochaic,MED51067,npl<pr,signefyen,trochaic,MED40276,vps23,
302,In vche Cite þere he come,sacren on he scholde,come,trochaic,MED8522,vsjps13,scholde,trochaic,MED40162,vpt13,
303,wiþ þe selue oygnemens,þat he to him wrouȝte,oygnemens,nontrochaic,MED30472,npl<pr,wrouȝte,trochaic,MED52280,vpt13,
304,And an-oyg[n]ten oþer kynges,þat to crist torneden,kynges,trochaic,MED24299,nplOd,torneden,trochaic,MED47404,vpt23,
305,¶ Ȝit he leres him more,loueliche him-seluen,more,trochaic,MED28626,ajnpl-cpv,seluen,trochaic,MED20373,P13OiXM,
306,I beo-take þe her Iosaphe,soules to kepe,Iosaphe,trochaic,Wikidata_Q6288522,n-voc,kepe,trochaic,MED24173,vi-m,
307,ȝif eni þorw þi defaute,falle fro my riche,defaute,trochaic,MED10792,n<pr,riche,trochaic,MED37437,n<pr,
308,At þe day of Iuggement,þou beost ioyned harde,Iuggement,nontrochaic,MED23992,n<pr,harde,trochaic,MED19969,av,
309,¶ I seiȝe Ioseph þi fader,schal bodiliche hem ȝeme,fader,trochaic,MED15113,n,ȝeme,trochaic,MED53835,vi,
310,And þou gostliche,nou ȝemes hem boþe,gostliche,trochaic,MED19125,av,boþe,trochaic,MED5636,ajplOd,
311,wiþ-drawe þe of þi vestimens,and do hem vp to holde,vestimens,nontrochaic,MED51067,npl<pr,holde,trochaic,MED20995,vi-m,
312,Go now to-ward þe court,þe kyng for to turne,court,nontrochaic,MED10055,n<pr,torne,trochaic,MED47404,vi-m,
313,ÞEnne þei wenden heore wei,and to þe court ȝongen,wei,dative_e,MED52010,n<pr,ȝongen,trochaic,MED18162,vpt23,
314,And al a-boute þe paleys,haly water þei spreynden,paleys,nonschwa,MED32206,n<pr,spreynden,trochaic,MED42406,vpt23,
315,for mony a wikkede gost,woned hedde þere,gost,nontrochaic,MED19121,n,þere,trochaic,MED45141,av,
316,¶ wiþ-outen on þe paleys,as þei bi passeden,paleys,nonschwa,MED32206,n<pr,passeden,trochaic,MED32556,vpt23,
317,werdes of Ebreu,weren I-writen of ȝore,Ebreu,nonschwa,MED12925,n<pr,ȝore,trochaic,MED54029,av,
318,And sein daniel of Babiloyne,whon he fro Batayle wente,Babiloyne,trochaic,Wikidata_Q5684,n<pr,wente,trochaic,MED52201,vpt13,
319,Fro nabugodonosor,þe kyng þat him hade,nabugodonosor,nonschwa,MED29001,n<pr,hade,trochaic,MED20173,vpt13,
320,called þis paleis Auntres,and forsoþe seide,Auntres,trochaic,NO_AUTH_auntres,n,seide,trochaic,MED39209,vpt13,
321,þat hit scholde trewely,in sum tyme aftur,trewely,nonschwa,MED47008,av,aftur,trochaic,MED801,av,
322,called beo þe paleis,merueilouse for werkes,paleis,nonschwa,MED32206,n,werkes,trochaic,MED52278,npl<pr,
323,þat þer scholde beo seyȝen,þorw sonde of vr lord,seyȝen,trochaic,MED39393,vSpp,lord,trochaic,MED26078,n<pr,
324,¶ Bi þat was A Messager come,after þis men sone,come,trochaic,MED8522,vSpp,sone,trochaic,MED41559,av,
325,whon þei comen to þe halle,þei maden þe signe,halle,trochaic,MED19852,n<pr,signe,trochaic,MED40259,nOd,
326,on hem of þe verrey cros,and toward þe kyng eoden,cros,dative_e,MED10442,n<pr,eoden,trochaic,MED53786,vpt23,
327,¶ þe kyng hedde geten him a clerk,on of þe beste,clerk,nontrochaic,MED7991,nOd,beste,trochaic,MED4236,ajnpl<pr,
328,nouȝwhere in heore lawe,was such a-nother holden,lawe,trochaic,MED24815,n<pr,holden,trochaic,MED20995,vSpp,
329,to take Ioseph in his tale,ȝif he wrong seide,tale,trochaic,MED44431,n<pr,seide,trochaic,MED39209,vpt13,
330,¶ þou toldest me ȝusterday quod þe kyng,þou wost wel þi-seluen,kyng,nontrochaic,MED24299,n,seluen,trochaic,MED20373,P12XN,
331,Of þise þreo persones,and alle þei beoþ goddes,persones,trochaic,MED33110,npl<pr,goddes,trochaic,MED18945,npl,
332,And siþen of a-noþer,wonder forsoþe,oþer,trochaic,MED31010,aj-indef<pr,forsoþe,trochaic,MED17159,av,
333,þat Ihesu with-outen wem,won in a Mayden,wem,dative_e,MED52187,n<pr,Mayden,trochaic,MED26501,n<pr,
334,Þat I tolde þe þo,I telle þe ȝitte,þo,nontrochaic,MED45360,av,ȝitte,trochaic,MED53930,av,
335,I nul forsake my word,for no maner þinge,word,nontrochaic,MED53418,nOd,þinge,dative_e,MED45301,n<pr,
336,Op stondes þis clerk,and seis him þise wordes,clerk,nontrochaic,MED7991,n,wordes,trochaic,MED53418,nplOd,
337,Ȝif þise þreo persones,þat þou þe fore puttest,persones,trochaic,MED33110,npl,puttest,trochaic,MED35369,vps12,
338,han bote on godhede,þei nare not goddes alle,godhede,nonschwa,MED18979,nOd,alle,trochaic,MED985,ajpl,
339,Ȝif vchon haue a godhede,I graunte bi him-selue,godhede,nonschwa,MED18979,nOd,selue,trochaic,MED20373,P13<prXM,
340,I seie þat on is also good,as þe þreo hole,good,nontrochaic,MED18947,aj,hole,trochaic,MED21007,av,
341,¶ þat on is a verrei god,I sei bi god greyþe,god,nontrochaic,MED18945,n,greyþe,trochaic,MED19346,n<pr,
342,þis oþer two nare none,in no maner þinge,none,trochaic,MED29715,pnpl,þinge,dative_e,MED45301,n<pr,
343,He sprong in his sputison,and speek harde wordes,sputison,nontrochaic,MED42472,n<pr,wordes,trochaic,MED53418,nplOd,
344,þat Ioseph hedde no space,while his speche laste,space,trochaic,MED41916,nOd,laste,trochaic,MED24729,vpt13,
345,¶ Op stondes Iosaphe,and þe fader sittes,Iosaphe,trochaic,Wikidata_Q6288522,n,sittes,trochaic,MED40572,vps13,
346,Speek wiþ an heiȝ vois,þat al þe folk herde,vois,trochaic,MED51346,n<pr,herde,trochaic,MED20505,vpt13,
347,Nou þe greteþ sir Euelak,God of israel,Euelak,nontrochaic,NO_AUTH_euelak,n-voc,israel,nontrochaic,MED23501,n<pr,
348,þorw his seruauntes mouþ,and seye þe I wile,mouþ,nontrochaic,MED28827,n<pr,wile,trochaic,MED52797,vps11,
349,¶ þou hast I-seȝe to-niht,signefies summe,to-niht,trochaic,MED46293,av,summe,trochaic,MED41466,ajplOd,
350,þow hast diskeueret hem,þer he nis not payet,hem,nontrochaic,MED20803,P23Od,payet,trochaic,MED32178,vpp,
351,Heere þou schalt ha vengaunce,verreyliche and sone,vengaunce,trochaic,MED50860,nOd,sone,trochaic,MED41559,av,
352,þat al þi reume schal seo,þat þou wrong siggest,seo,nontrochaic,MED39393,vi,siggest,trochaic,MED39209,vps12,
353,¶ For he þis ilke Tholomer,þat þou weore wont to hunte,Tholomer,nontrochaic,NO_AUTH_tholomer,n,hunte,trochaic,MED21508,vi-m,
354,þat is kyng of Babiloyne,hiderward he buskes,Babiloyne,trochaic,Wikidata_Q5684,n<pr,buskes,trochaic,MED6383,vps13,
